Lift-ID,Duration,Reps,Hip_AV,Knee_AV,Bar_speed,RPE (target)
jacob_sumo,0.9333333333333332,1,112.6,71.9,0.3,5
515_carlos,1.1666666666666667,1,74.0,47.5,0.1,6
535_deadlift,6.1,2,22.5,13.2,0.0,7
